bfa,9992691,8788,214,351
bfb,9721849,10282,80,220
bfc,9855966,8422,122,246
bfd,9998229,9865,17,31
bfe,9697978,9069,85,215
bff,9783736,9942,17,46
bfg,9965839,8075,166,287
bga,9632759,8877,147,236
bgb,9923072,9829,35,72
bgc,9995686,8276,29,115
bgd,9984810,9182,519,1085
bge,9433379,8255,7,28
bgf,9843141,10562,293,472
bgg,9732068,8958,67,113
caa,9834792,8395,6,23
cab,9943532,9225,15,42
cac,9990212,9682,36,80
cad,9696091,9547,94,164
cae,9978860,9314,103,151
caf,9444353,9748,58,96
cag,9795597,8153,231,415
cba,9815779,8914,503,835
cbb,9998573,9421,323,706
cbc,9990650,9853,345,697
cbd,9646616,8978,121,190
cbe,9803167,9249,571,968
cbf,9864829,9428,158,242
cbg,9838066,8539,321,510
cca,9912382,8893,158,395
ccb,9609704,11032,107,226
ccc,9860597,8234,117,203
ccd,9937906,9510,42,75
cce,9805098,7779,89,233
ccf,9771250,8040,8,21
ccg,9957643,7745,117,175
cda,9978924,9388,6,16
cdb,9814260,8692,294,475
cdc,9905481,9850,121,254
cdd,9709136,9964,81,158
cde,9794497,8241,232,299
cdf,9853373,9274,5,5
cdg,9652551,10478,99,198
cea,9907384,9549,311,530
ceb,9984787,9095,34,75
cec,9718145,9779,281,579
ced,9799208,9172,35,97
cee,9922547,8750,8,31
cef,9806313,8154,34,118
ceg,9869047,8942,238,409
cfa,9867491,9112,73,142
cfb,9336482,8793,151,272
cfc,9953790,9843,107,165
cfd,9913097,9360,22,58
cfe,9643294,9607,11,36
cff,9895696,9336,42,69
cfg,9713281,9929,68,268
cga,9772719,10300,159,265
cgb,9738457,7906,287,601
cgc,9861121,10176,283,418
cgd,9883312,7702,7,12
cge,9946414,7702,733,1259
cgf,9911476,9187,82,136
cgg,9996721,9608,309,520
daa,9953450,10614,339,605
dab,9754807,9106,176,337
dac,9955355,8770,11,45
dad,9644352,7886,104,220
dae,9919182,9328,32,112
daf,9931937,8860,225,390
dag,9905530,8392,170,317
dba,9714763,6563,86,198
dbb,9595268,8769,163,335
dbc,9916919,8820,135,331
dbd,9931980,8681,231,437
dbe,9653644,9506,15,35
dbf,9964035,7442,70,94
dbg,9719858,7745,94,250
dca,9996293,9351,7,20
dcb,9916311,9188,521,1055
dcc,9961466,8775,155,244
dcd,9870150,8278,328,811
dce,9991678,9882,163,222
dcf,9835191,9761,12,32
dcg,9831402,9618,9,26
dda,9870759,9511,30,95
ddb,9656017,10027,253,451
ddc,9941354,7514,95,275
ddd,9311634,9906,9,33
dde,9751688,7942,184,333
ddf,9757216,9340,17,41
ddg,9732876,9808,52,239
dea,9962119,8717,304,462
deb,9769519,8838,188,308
dec,9893401,10082,379,542
ded,9927604,10510,227,402
dee,9853172,9017,18,58
def,9966076,8984,85,139
deg,9986617,8595,167,395
dfa,9954914,10126,137,283
dfb,9990407,8207,11,24
dfc,9672634,10408,20,60
dfd,9813050,8982,101,271
dfe,9311252,9485,5,7
dff,9818741,8957,239,432
dfg,9981393,10097,14,47
dga,9967269,9301,21,58
dgb,9778386,8765,91,129
dgc,9782022,9440,41,120
dgd,9946542,9558,164,285
dge,9608628,8419,25,81
dgf,9964023,7909,5,16
dgg,9925893,8613,48,109
eaa,9901173,9299,101,155
eab,9905796,10588,49,181
eac,9811112,9037,13,38
ead,9643674,10429,236,439
eae,9962315,7802,153,298
eaf,9886096,9804,45,105
eag,9695878,10146,123,227
eba,9771509,10747,103,173
ebb,9953280,9273,149,325
ebc,9612735,9594,47,91
ebd,9779553,10117,141,326
ebe,9928128,8870,75,113
ebf,9473149,10136,21,82
ebg,9581265,9195,52,182
eca,9629253,8323,58,127
ecb,9954416,9262,7,28
ecc,9943721,9716,82,137
ecd,9926376,9917,11,41
ece,9997426,8423,163,404
ecf,9797726,10097,5,10
ecg,9772806,9600,104,237
eda,9434411,9843,75,192
edb,9853605,9970,125,358
edc,9890532,9280,206,341
edd,9966118,8282,98,252
ede,9802717,11984,6,23
edf,9308876,8977,23,43
edg,9979610,7382,172,333
eea,9864246,8514,408,730
eeb,9811726,7519,32,57
eec,9898776,8570,32,87
eed,9757622,9240,113,249
eee,9995731,9278,55,153
eef,9936871,8661,19,67
eeg,9930945,11494,77,120
efa,9992998,9075,148,295
efb,9968282,8600,207,363
efc,9990454,10646,5,6
efd,9783844,7774,5,8
efe,9813962,9289,78,203
eff,9586030,8524,5,5
efg,9705051,9048,134,277
ega,9839048,9127,18,48
egb,9952097,9806,5,5
egc,9976428,9706,161,229
egd,9614857,8380,61,103
ege,9983759,8828,31,64
egf,9704889,8796,44,88
egg,9908339,8073,211,296
faa,9918063,7495,263,477
fab,9954524,9272,89,208
fac,9630385,8768,74,151
fad,9981339,10730,194,483
fae,9982247,7063,12,36
faf,9752744,8561,185,289
fag,9893154,7784,338,827
fba,9917660,9817,262,480
fbb,9999243,8500,80,172
fbc,9784591,9215,14,49
fbd,9897910,8011,106,240
fbe,9780668,8814,32,112
fbf,9802899,7815,118,192
fbg,9806577,8833,345,617
fca,9849344,7956,39,125
fcb,9929380,8089,43,160
fcc,9826192,8566,106,225
fcd,9805405,9287,28,69
fce,9921472,9600,58,154
fcf,9998902,7505,235,343
fcg,9970926,8433,97,298
fda,9941373,7556,123,334
fdb,9749376,8079,235,503
fdc,9984146,9941,146,257
fdd,9855491,9841,188,312
fde,9900147,7325,113,190
fdf,9796337,8310,10,38
fdg,9380538,11206,16,42
fea,9876222,9686,47,120
feb,9975977,10008,75,154
fec,9983187,8309,85,189
fed,9879479,6889,121,188
fee,9934856,9132,64,94
fef,9959838,9703,112,196
feg,9961469,9993,97,170
ffa,9825313,7930,224,357
ffb,9832990,7628,109,218
ffc,9658332,10195,24,76
ffd,9621731,8389,505,1100
ffe,9937722,9956,77,117
fff,9552288,8012,98,165
ffg,9936480,7296,81,168
fga,9719015,10666,209,272
fgb,9851039,9397,108,286
fgc,9989273,10506,24,63
fgd,9952399,8112,5,8
fge,9900829,8568,105,221
fgf,9864870,8544,47,105
fgg,9675270,9558,205,304
gaa,9958496,8089,60,134
gab,9903614,9437,270,412
gac,9996467,8218,123,161
gad,9845026,6740,104,223
gae,9781488,8501,163,310
gaf,9899580,10364,309,555
gag,9839045,5955,116,187
gba,9832428,7642,140,345
gbb,9873391,9460,97,254
gbc,9757994,10393,105,270
gbd,9802109,9162,85,295
gbe,9994541,7585,169,263
gbf,9374856,8080,54,124
gbg,9822907,8427,122,263
gca,9710795,10230,60,125
gcb,9856559,10321,134,189
gcc,9693812,10203,44,95
gcd,9931015,9326,49,177
gce,9849937,8034,6,18
gcf,9834690,8105,70,132
gcg,9481230,10244,188,288
gda,9747785,7914,199,295
gdb,9572126,10345,57,122
gdc,9999959,8586,310,681
gdd,9769200,10631,36,83
gde,9984694,8298,30,55
gdf,9593328,9941,17,43
gdg,9834975,8899,5,17
gea,9728076,8159,257,463
geb,9864943,9738,116,274
gec,9609139,9559,21,90
ged,9781581,8693,143,302
gee,9859467,10204,12,55
gef,9825641,8398,114,177
geg,9963842,7515,20,54
gfa,9888425,7126,175,342
gfb,9738991,9001,366,588
gfc,9796261,9123,177,416
gfd,9757987,7416,55,119
gfe,9809428,8955,154,209
gff,9857672,8964,5,5
gfg,9957454,9963,36,61
gga,9978529,10225,25,46
ggb,9756097,8668,5,8
ggc,9708253,7864,103,223
ggd,9921418,6716,226,339
gge,9684742,9692,31,117
ggf,9888288,8495,11,28
ggg,9908306,8235,575,1063
